Resistors:  (1, 2, 4, 8)
  0.5333 Ohm using    (8|4|2|1)    , most stressed R=1 at   53%, possible overload 187.5%
  0.5714 Ohm using     (4|2|1)     , most stressed R=1 at   57%, possible overload 175.0%
  0.6154 Ohm using     (8|2|1)     , most stressed R=1 at   62%, possible overload 162.5%
  0.6316 Ohm using    (8+4)|2|1    , most stressed R=1 at   63%, possible overload 158.3%
  0.6667 Ohm using      (2|1)      , most stressed R=1 at   67%, possible overload 150.0%
  0.7273 Ohm using     (8|4|1)     , most stressed R=1 at   73%, possible overload 137.5%
  0.7407 Ohm using    (8+2)|4|1    , most stressed R=1 at   74%, possible overload 135.0%
  0.7742 Ohm using    8|(4+2)|1    , most stressed R=1 at   77%, possible overload 129.2%
  0.8000 Ohm using      (4|1)      , most stressed R=1 at   80%, possible overload 125.0%
  0.8571 Ohm using     (4+2)|1     , most stressed R=1 at   86%, possible overload 116.7%
  0.8889 Ohm using      (8|1)      , most stressed R=1 at   89%, possible overload 112.5%
  0.9091 Ohm using     (8+2)|1     , most stressed R=1 at   91%, possible overload 110.0%
  0.9231 Ohm using     (8+4)|1     , most stressed R=1 at   92%, possible overload 108.3%
  0.9333 Ohm using    (8+4+2)|1    , most stressed R=1 at   93%, possible overload 107.1%
  1.0000 Ohm using        1        , most stressed R=1 at  100%, possible overload 100.0%
  1.1429 Ohm using     (8|4|2)     , most stressed R=2 at   57%, possible overload 175.0%
  1.1613 Ohm using    (8+1)|4|2    , most stressed R=2 at   58%, possible overload 172.2%
  1.2121 Ohm using    8|(4+1)|2    , most stressed R=2 at   61%, possible overload 165.0%
  1.3333 Ohm using      (4|2)      , most stressed R=2 at   67%, possible overload 150.0%
  1.4118 Ohm using    8|4|(2+1)    , most stressed R=4 at   35%, possible overload 283.3%
  1.4286 Ohm using     (4+1)|2     , most stressed R=2 at   71%, possible overload 140.0%
  1.6000 Ohm using      (8|2)      , most stressed R=2 at   80%, possible overload 125.0%
  1.6364 Ohm using     (8+1)|2     , most stressed R=2 at   82%, possible overload 122.2%
  1.7143 Ohm using     (8+4)|2     , most stressed R=2 at   86%, possible overload 116.7%
  1.7143 Ohm using     4|(2+1)     , most stressed R=4 at   43%, possible overload 233.3%
  1.7333 Ohm using    (8+4+1)|2    , most stressed R=2 at   87%, possible overload 115.4%
  2.0000 Ohm using        2        , most stressed R=2 at  100%, possible overload 100.0%
  2.1429 Ohm using    (8|4|2)+1    , most stressed R=1 at   47%, possible overload 214.3%
  2.1818 Ohm using     8|(2+1)     , most stressed R=2 at   48%, possible overload 206.2%
  2.2222 Ohm using   (8|1)+(4|2)   , most stressed R=2 at   40%, possible overload 250.0%
  2.3333 Ohm using     (4|2)+1     , most stressed R=1 at   43%, possible overload 233.3%
  2.4000 Ohm using   (8|2)+(4|1)   , most stressed R=2 at   53%, possible overload 187.5%
